[2023-09-28 15:09:57.821358] [gNB 0][rsc 0][Rx 0][sfn 48][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-28 15:09:57.821837] [gNB 1][rsc 0][Rx 0][sfn 48][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -73.3 dBm

[2023-09-28 15:09:57.822243] [gNB 2][rsc 0][Rx 0][sfn 48][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -79.8 dBm

[2023-09-28 15:09:57.822628] [gNB 3][rsc 0][Rx 0][sfn 48][slot 5] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp -77.0 dBm

[2023-09-28 15:09:57.831061] [gNB 0][rsc 0][Rx 0][sfn 49][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-28 15:09:57.831551] [gNB 1][rsc 0][Rx 0][sfn 49][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 15:09:57.832086] [gNB 2][rsc 0][Rx 0][sfn 49][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-28 15:09:57.832560] [gNB 3][rsc 0][Rx 0][sfn 49][slot 5] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-28 15:09:57.841034] [gNB 0][rsc 0][Rx 0][sfn 50][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.9 dBm

[2023-09-28 15:09:57.841554] [gNB 1][rsc 0][Rx 0][sfn 50][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 15:09:57.842045] [gNB 2][rsc 0][Rx 0][sfn 50][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.7 dBm

[2023-09-28 15:09:57.842555] [gNB 3][rsc 0][Rx 0][sfn 50][slot 5] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -75.1 dBm

