[2023-09-28 15:44:46.377097] [gNB 0][rsc 0][Rx 0][sfn 390][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298744.0 dB, rsrp -82.5 dBm

[2023-09-28 15:44:46.377622] [gNB 1][rsc 0][Rx 0][sfn 390][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298741.0 dB, rsrp -82.8 dBm

[2023-09-28 15:44:46.378041] [gNB 2][rsc 0][Rx 0][sfn 390][slot 4] DL PRS ToA ==> -1044.0 / 4096 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.378497] [gNB 3][rsc 0][Rx 0][sfn 390][slot 5] DL PRS ToA ==> -19.0 / 4096 samples, peak channel power -53.3 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 15:44:46.383373] [gNB 0][rsc 0][Rx 0][sfn 391][slot 2] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.383774] [gNB 1][rsc 0][Rx 0][sfn 391][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -88.2 dBm

[2023-09-28 15:44:46.384157] [gNB 2][rsc 0][Rx 0][sfn 391][slot 4] DL PRS ToA ==> -14.0 / 4096 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.384612] [gNB 3][rsc 0][Rx 0][sfn 391][slot 5] DL PRS ToA ==> -14.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp -77.7 dBm

[2023-09-28 15:44:46.389933] [gNB 0][rsc 0][Rx 0][sfn 392][slot 2] DL PRS ToA ==> -14.0 / 4096 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.390315] [gNB 1][rsc 0][Rx 0][sfn 392][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.3 dBm

[2023-09-28 15:44:46.390737] [gNB 2][rsc 0][Rx 0][sfn 392][slot 4] DL PRS ToA ==> -1037.0 / 4096 samples, peak channel power -52.5 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.391134] [gNB 3][rsc 0][Rx 0][sfn 392][slot 5] DL PRS ToA ==> -15.0 / 4096 samples, peak channel power -53.6 dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-28 15:44:46.396616] [gNB 0][rsc 0][Rx 0][sfn 393][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -54.2 dBm, SNR -3298746.0 dB, rsrp -74.3 dBm

