[2023-09-28 15:47:54.897067] [gNB 0][rsc 0][Rx 0][sfn 841][slot 2] DL PRS ToA ==> -29.0 / 4096 samples, peak channel power -54.8 dBm, SNR +4.0 dB, rsrp -77.2 dBm

[2023-09-28 15:47:54.897578] [gNB 1][rsc 0][Rx 0][sfn 841][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -84.3 dBm

[2023-09-28 15:47:54.897986] [gNB 2][rsc 0][Rx 0][sfn 841][slot 4] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.898553] [gNB 3][rsc 0][Rx 0][sfn 841][slot 5] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -57.4 dBm, SNR +4.0 dB, rsrp -77.5 dBm

[2023-09-28 15:47:54.903449] [gNB 0][rsc 0][Rx 0][sfn 842][slot 2] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.7 dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-28 15:47:54.903883] [gNB 1][rsc 0][Rx 0][sfn 842][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.6 dBm

[2023-09-28 15:47:54.904268] [gNB 2][rsc 0][Rx 0][sfn 842][slot 4] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.904821] [gNB 3][rsc 0][Rx 0][sfn 842][slot 5] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-28 15:47:54.909976] [gNB 0][rsc 0][Rx 0][sfn 843][slot 2] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-28 15:47:54.910360] [gNB 1][rsc 0][Rx 0][sfn 843][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.2 dBm

[2023-09-28 15:47:54.910746] [gNB 2][rsc 0][Rx 0][sfn 843][slot 4] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -54.0 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.911276] [gNB 3][rsc 0][Rx 0][sfn 843][slot 5] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.1 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.916687] [gNB 0][rsc 0][Rx 0][sfn 844][slot 2] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -54.5 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:54.917081] [gNB 1][rsc 0][Rx 0][sfn 844][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:54.917457] [gNB 2][rsc 0][Rx 0][sfn 844][slot 4] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -54.4 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.917964] [gNB 3][rsc 0][Rx 0][sfn 844][slot 5] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 15:47:54.923325] [gNB 0][rsc 0][Rx 0][sfn 845][slot 2] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:54.923710] [gNB 1][rsc 0][Rx 0][sfn 845][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298741.0 dB, rsrp -86.5 dBm

[2023-09-28 15:47:54.924083] [gNB 2][rsc 0][Rx 0][sfn 845][slot 4] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -55.0 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.924601] [gNB 3][rsc 0][Rx 0][sfn 845][slot 5] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-28 15:47:54.929992] [gNB 0][rsc 0][Rx 0][sfn 846][slot 2] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -53.0 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:54.930388] [gNB 1][rsc 0][Rx 0][sfn 846][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.930782] [gNB 2][rsc 0][Rx 0][sfn 846][slot 4] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.931318] [gNB 3][rsc 0][Rx 0][sfn 846][slot 5] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -52.7 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.936708] [gNB 0][rsc 0][Rx 0][sfn 847][slot 2] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -54.9 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:54.937125] [gNB 1][rsc 0][Rx 0][sfn 847][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.937509] [gNB 2][rsc 0][Rx 0][sfn 847][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.938033] [gNB 3][rsc 0][Rx 0][sfn 847][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -78.6 dBm

[2023-09-28 15:47:54.943304] [gNB 0][rsc 0][Rx 0][sfn 848][slot 2] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -55.9 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:54.943698] [gNB 1][rsc 0][Rx 0][sfn 848][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.944084] [gNB 2][rsc 0][Rx 0][sfn 848][slot 4] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp +nan dBm

