[2023-09-28 16:56:54.635886] [gNB 0][rsc 0][Rx 0][sfn 357][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -46.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.636308] [gNB 1][rsc 0][Rx 0][sfn 357][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -85.4 dBm

[2023-09-28 16:56:54.636797] [gNB 2][rsc 0][Rx 0][sfn 357][slot 4] DL PRS ToA ==> 4.0 / 2048 samples, peak channel power -50.9 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 16:56:54.637267] [gNB 3][rsc 0][Rx 0][sfn 357][slot 5] DL PRS ToA ==> 4.0 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 16:56:54.645834] [gNB 0][rsc 0][Rx 0][sfn 358][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -46.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.646254] [gNB 1][rsc 0][Rx 0][sfn 358][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-28 16:56:54.646768] [gNB 2][rsc 0][Rx 0][sfn 358][slot 4] DL PRS ToA ==> 4.0 / 2048 samples, peak channel power -50.9 dBm, SNR +4.0 dB, rsrp -74.8 dBm

[2023-09-28 16:56:54.647257] [gNB 3][rsc 0][Rx 0][sfn 358][slot 5] DL PRS ToA ==> 4.0 / 2048 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 16:56:54.655774] [gNB 0][rsc 0][Rx 0][sfn 359][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -46.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.656258] [gNB 1][rsc 0][Rx 0][sfn 359][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-28 16:56:54.656777] [gNB 2][rsc 0][Rx 0][sfn 359][slot 4] DL PRS ToA ==> 4.0 / 2048 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -74.3 dBm

[2023-09-28 16:56:54.657261] [gNB 3][rsc 0][Rx 0][sfn 359][slot 5] DL PRS ToA ==> 4.0 / 2048 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp -75.9 dBm

