[2023-09-28 17:11:45.121880] [gNB 0][rsc 0][Rx 0][sfn 990][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -84.8 dBm

[2023-09-28 17:11:45.122440] [gNB 1][rsc 0][Rx 0][sfn 990][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -60.2 dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-28 17:11:45.122982] [gNB 2][rsc 0][Rx 0][sfn 990][slot 4] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -57.4 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-28 17:11:45.123512] [gNB 3][rsc 0][Rx 0][sfn 990][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -78.6 dBm

[2023-09-28 17:11:45.128110] [gNB 0][rsc 0][Rx 0][sfn 991][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622077.2 dB, rsrp -88.8 dBm

[2023-09-28 17:11:45.128581] [gNB 1][rsc 0][Rx 0][sfn 991][slot 3] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -83.9 dBm

[2023-09-28 17:11:45.129025] [gNB 2][rsc 0][Rx 0][sfn 991][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -54.3 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.129531] [gNB 3][rsc 0][Rx 0][sfn 991][slot 5] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -55.9 dBm, SNR +4.0 dB, rsrp -78.4 dBm

[2023-09-28 17:11:45.134757] [gNB 0][rsc 0][Rx 0][sfn 992][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.135215] [gNB 1][rsc 0][Rx 0][sfn 992][slot 3] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.135727] [gNB 2][rsc 0][Rx 0][sfn 992][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -55.2 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-28 17:11:45.136221] [gNB 3][rsc 0][Rx 0][sfn 992][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp -79.2 dBm

[2023-09-28 17:11:45.141379] [gNB 0][rsc 0][Rx 0][sfn 993][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 17:11:45.141827] [gNB 1][rsc 0][Rx 0][sfn 993][slot 3] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -84.1 dBm

[2023-09-28 17:11:45.142325] [gNB 2][rsc 0][Rx 0][sfn 993][slot 4] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -80.3 dBm

