[2023-09-28 19:02:17.071108] [gNB 0][rsc 0][Rx 0][sfn 16][slot 2] DL PRS ToA ==> -15.0 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 19:02:17.071844] [gNB 1][rsc 0][Rx 0][sfn 16][slot 3] DL PRS ToA ==> -15.0 / 4096 samples, peak channel power -56.1 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 19:02:17.072503] [gNB 2][rsc 0][Rx 0][sfn 16][slot 4] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -80.6 dBm

[2023-09-28 19:02:17.073148] [gNB 3][rsc 0][Rx 0][sfn 16][slot 5] DL PRS ToA ==> -14.0 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.077825] [gNB 0][rsc 0][Rx 0][sfn 17][slot 2] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 19:02:17.078470] [gNB 1][rsc 0][Rx 0][sfn 17][slot 3] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 19:02:17.079072] [gNB 2][rsc 0][Rx 0][sfn 17][slot 4] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 19:02:17.079694] [gNB 3][rsc 0][Rx 0][sfn 17][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -57.5 dBm, SNR +4.0 dB, rsrp -82.9 dBm

[2023-09-28 19:02:17.084444] [gNB 0][rsc 0][Rx 0][sfn 18][slot 2] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -57.3 dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-28 19:02:17.085087] [gNB 1][rsc 0][Rx 0][sfn 18][slot 3] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -57.2 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 19:02:17.085742] [gNB 2][rsc 0][Rx 0][sfn 18][slot 4] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-28 19:02:17.086377] [gNB 3][rsc 0][Rx 0][sfn 18][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -56.1 dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-28 19:02:17.090815] [gNB 0][rsc 0][Rx 0][sfn 19][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-28 19:02:17.091486] [gNB 1][rsc 0][Rx 0][sfn 19][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -80.8 dBm

