[2023-09-29 10:12:45.965881] [gNB 0][rsc 0][Rx 0][sfn 303][slot 2] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -51.9 dBm, SNR +4.0 dB, rsrp -77.5 dBm

[2023-09-29 10:12:45.966252] [gNB 1][rsc 0][Rx 0][sfn 303][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-29 10:12:45.966690] [gNB 2][rsc 0][Rx 0][sfn 303][slot 4] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-29 10:12:45.967110] [gNB 3][rsc 0][Rx 0][sfn 303][slot 5] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -58.8 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-29 10:12:45.972457] [gNB 0][rsc 0][Rx 0][sfn 304][slot 2] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-29 10:12:45.972764] [gNB 1][rsc 0][Rx 0][sfn 304][slot 3] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -60.3 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:45.973194] [gNB 2][rsc 0][Rx 0][sfn 304][slot 4] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -54.3 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-29 10:12:45.973596] [gNB 3][rsc 0][Rx 0][sfn 304][slot 5] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:12:45.979119] [gNB 0][rsc 0][Rx 0][sfn 305][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-29 10:12:45.979448] [gNB 1][rsc 0][Rx 0][sfn 305][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.0 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:45.979842] [gNB 2][rsc 0][Rx 0][sfn 305][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-29 10:12:45.980231] [gNB 3][rsc 0][Rx 0][sfn 305][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:45.985725] [gNB 0][rsc 0][Rx 0][sfn 306][slot 2] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -52.9 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:45.986052] [gNB 1][rsc 0][Rx 0][sfn 306][slot 3] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -60.1 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 10:12:45.986488] [gNB 2][rsc 0][Rx 0][sfn 306][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-29 10:12:45.986782] [gNB 3][rsc 0][Rx 0][sfn 306][slot 5] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:45.992419] [gNB 0][rsc 0][Rx 0][sfn 307][slot 2] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -52.6 dBm, SNR -2622080.2 dB, rsrp -79.1 dBm

