[2023-09-29 10:20:31.423096] [gNB 0][rsc 0][Rx 0][sfn 699][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-29 10:20:31.423547] [gNB 1][rsc 0][Rx 0][sfn 699][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 10:20:31.423953] [gNB 2][rsc 0][Rx 0][sfn 699][slot 4] DL PRS ToA ==> -21.6 / 4096 samples, peak channel power -60.5 dBm, SNR +4.0 dB, rsrp -79.2 dBm

[2023-09-29 10:20:31.424329] [gNB 3][rsc 0][Rx 0][sfn 699][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-29 10:20:31.429632] [gNB 0][rsc 0][Rx 0][sfn 700][slot 2] DL PRS ToA ==> -21.1 / 4096 samples, peak channel power -58.6 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-29 10:20:31.430041] [gNB 1][rsc 0][Rx 0][sfn 700][slot 3] DL PRS ToA ==> -21.4 / 4096 samples, peak channel power -63.5 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 10:20:31.430438] [gNB 2][rsc 0][Rx 0][sfn 700][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.430824] [gNB 3][rsc 0][Rx 0][sfn 700][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.436332] [gNB 0][rsc 0][Rx 0][sfn 701][slot 2] DL PRS ToA ==> -21.4 / 4096 samples, peak channel power -58.6 dBm, SNR -2622080.2 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.436698] [gNB 1][rsc 0][Rx 0][sfn 701][slot 3] DL PRS ToA ==> -21.6 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 10:20:31.437065] [gNB 2][rsc 0][Rx 0][sfn 701][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.437459] [gNB 3][rsc 0][Rx 0][sfn 701][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 10:20:31.442946] [gNB 0][rsc 0][Rx 0][sfn 702][slot 2] DL PRS ToA ==> -21.6 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:20:31.443322] [gNB 1][rsc 0][Rx 0][sfn 702][slot 3] DL PRS ToA ==> -21.9 / 4096 samples, peak channel power -63.5 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.443697] [gNB 2][rsc 0][Rx 0][sfn 702][slot 4] DL PRS ToA ==> -22.4 / 4096 samples, peak channel power -60.9 dBm, SNR -2622080.2 dB, rsrp -80.7 dBm

[2023-09-29 10:20:31.444162] [gNB 3][rsc 0][Rx 0][sfn 702][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:20:31.449644] [gNB 0][rsc 0][Rx 0][sfn 703][slot 2] DL PRS ToA ==> -21.9 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:20:31.450011] [gNB 1][rsc 0][Rx 0][sfn 703][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.450383] [gNB 2][rsc 0][Rx 0][sfn 703][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.450749] [gNB 3][rsc 0][Rx 0][sfn 703][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:20:31.456347] [gNB 0][rsc 0][Rx 0][sfn 704][slot 2] DL PRS ToA ==> -22.1 / 4096 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-29 10:20:31.456718] [gNB 1][rsc 0][Rx 0][sfn 704][slot 3] DL PRS ToA ==> -22.4 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.457079] [gNB 2][rsc 0][Rx 0][sfn 704][slot 4] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.457471] [gNB 3][rsc 0][Rx 0][sfn 704][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

