[2023-09-29 11:15:53.394349] [gNB 0][rsc 0][Rx 0][sfn 877][slot 2] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -56.2 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 11:15:53.394754] [gNB 1][rsc 0][Rx 0][sfn 877][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -58.8 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.395193] [gNB 2][rsc 0][Rx 0][sfn 877][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -52.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.395587] [gNB 3][rsc 0][Rx 0][sfn 877][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -57.7 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-29 11:15:53.400952] [gNB 0][rsc 0][Rx 0][sfn 878][slot 2] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -56.8 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-29 11:15:53.401302] [gNB 1][rsc 0][Rx 0][sfn 878][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.401719] [gNB 2][rsc 0][Rx 0][sfn 878][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -51.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.402102] [gNB 3][rsc 0][Rx 0][sfn 878][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.407624] [gNB 0][rsc 0][Rx 0][sfn 879][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-29 11:15:53.407953] [gNB 1][rsc 0][Rx 0][sfn 879][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.408387] [gNB 2][rsc 0][Rx 0][sfn 879][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.408762] [gNB 3][rsc 0][Rx 0][sfn 879][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-29 11:15:53.414221] [gNB 0][rsc 0][Rx 0][sfn 880][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.414555] [gNB 1][rsc 0][Rx 0][sfn 880][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:15:53.414896] [gNB 2][rsc 0][Rx 0][sfn 880][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -51.0 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.415345] [gNB 3][rsc 0][Rx 0][sfn 880][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -82.1 dBm

[2023-09-29 11:15:53.420919] [gNB 0][rsc 0][Rx 0][sfn 881][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.421267] [gNB 1][rsc 0][Rx 0][sfn 881][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:15:53.421629] [gNB 2][rsc 0][Rx 0][sfn 881][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -50.5 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.421944] [gNB 3][rsc 0][Rx 0][sfn 881][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.3 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.427622] [gNB 0][rsc 0][Rx 0][sfn 882][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.6 dBm, SNR +4.0 dB, rsrp -80.2 dBm

[2023-09-29 11:15:53.427928] [gNB 1][rsc 0][Rx 0][sfn 882][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:15:53.428216] [gNB 2][rsc 0][Rx 0][sfn 882][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.428535] [gNB 3][rsc 0][Rx 0][sfn 882][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:15:53.434222] [gNB 0][rsc 0][Rx 0][sfn 883][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-29 11:15:53.434562] [gNB 1][rsc 0][Rx 0][sfn 883][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.434893] [gNB 2][rsc 0][Rx 0][sfn 883][slot 4] DL PRS ToA ==> 3.5 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.435229] [gNB 3][rsc 0][Rx 0][sfn 883][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-29 11:15:53.440924] [gNB 0][rsc 0][Rx 0][sfn 884][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 11:15:53.441258] [gNB 1][rsc 0][Rx 0][sfn 884][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.441601] [gNB 2][rsc 0][Rx 0][sfn 884][slot 4] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -54.7 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.441936] [gNB 3][rsc 0][Rx 0][sfn 884][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.447531] [gNB 0][rsc 0][Rx 0][sfn 885][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.447868] [gNB 1][rsc 0][Rx 0][sfn 885][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.448210] [gNB 2][rsc 0][Rx 0][sfn 885][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -53.7 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.448544] [gNB 3][rsc 0][Rx 0][sfn 885][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.454233] [gNB 0][rsc 0][Rx 0][sfn 886][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:15:53.454583] [gNB 1][rsc 0][Rx 0][sfn 886][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -83.0 dBm

[2023-09-29 11:15:53.454934] [gNB 2][rsc 0][Rx 0][sfn 886][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -50.9 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.455262] [gNB 3][rsc 0][Rx 0][sfn 886][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -57.9 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.460944] [gNB 0][rsc 0][Rx 0][sfn 887][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.461251] [gNB 1][rsc 0][Rx 0][sfn 887][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.9 dBm

[2023-09-29 11:15:53.461536] [gNB 2][rsc 0][Rx 0][sfn 887][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -49.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.461866] [gNB 3][rsc 0][Rx 0][sfn 887][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.467554] [gNB 0][rsc 0][Rx 0][sfn 888][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 11:15:53.471557] [gNB 1][rsc 0][Rx 0][sfn 888][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.9 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.471849] [gNB 2][rsc 0][Rx 0][sfn 888][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -52.8 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.472140] [gNB 3][rsc 0][Rx 0][sfn 888][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.474532] [gNB 0][rsc 0][Rx 0][sfn 889][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.2 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:15:53.474840] [gNB 1][rsc 0][Rx 0][sfn 889][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:15:53.475134] [gNB 2][rsc 0][Rx 0][sfn 889][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.475465] [gNB 3][rsc 0][Rx 0][sfn 889][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:15:53.480853] [gNB 0][rsc 0][Rx 0][sfn 890][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.481197] [gNB 1][rsc 0][Rx 0][sfn 890][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-29 11:15:53.481527] [gNB 2][rsc 0][Rx 0][sfn 890][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -50.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.482005] [gNB 3][rsc 0][Rx 0][sfn 890][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -57.8 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:15:53.487574] [gNB 0][rsc 0][Rx 0][sfn 891][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.487899] [gNB 1][rsc 0][Rx 0][sfn 891][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:15:53.488230] [gNB 2][rsc 0][Rx 0][sfn 891][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -50.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.488685] [gNB 3][rsc 0][Rx 0][sfn 891][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-29 11:15:53.494253] [gNB 0][rsc 0][Rx 0][sfn 892][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

