[2023-09-29 10:54:45.718137] [gNB 0][rsc 0][Rx 0][sfn 196][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753093.0 dB, rsrp -88.2 dBm

[2023-09-29 10:54:45.718699] [gNB 1][rsc 0][Rx 0][sfn 196][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.1 dBm

[2023-09-29 10:54:45.719168] [gNB 2][rsc 0][Rx 0][sfn 196][slot 4] DL PRS ToA ==> -4.0 / 2048 samples, peak channel power -48.1 dBm, SNR +4.0 dB, rsrp -85.4 dBm

[2023-09-29 10:54:45.719636] [gNB 3][rsc 0][Rx 0][sfn 196][slot 5] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.728144] [gNB 0][rsc 0][Rx 0][sfn 197][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -77.3 dBm

[2023-09-29 10:54:45.728666] [gNB 1][rsc 0][Rx 0][sfn 197][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-29 10:54:45.729133] [gNB 2][rsc 0][Rx 0][sfn 197][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -47.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.729634] [gNB 3][rsc 0][Rx 0][sfn 197][slot 5] DL PRS ToA ==> -4.0 / 2048 samples, peak channel power -48.2 dBm, SNR +4.0 dB, rsrp -68.2 dBm

[2023-09-29 10:54:45.738156] [gNB 0][rsc 0][Rx 0][sfn 198][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.9 dBm

[2023-09-29 10:54:45.738642] [gNB 1][rsc 0][Rx 0][sfn 198][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-29 10:54:45.739163] [gNB 2][rsc 0][Rx 0][sfn 198][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -47.2 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-29 10:54:45.739662] [gNB 3][rsc 0][Rx 0][sfn 198][slot 5] DL PRS ToA ==> -4.0 / 2048 samples, peak channel power -47.1 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.748157] [gNB 0][rsc 0][Rx 0][sfn 199][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -76.7 dBm

[2023-09-29 10:54:45.748658] [gNB 1][rsc 0][Rx 0][sfn 199][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.9 dBm

[2023-09-29 10:54:45.749150] [gNB 2][rsc 0][Rx 0][sfn 199][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -46.6 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-29 10:54:45.749630] [gNB 3][rsc 0][Rx 0][sfn 199][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -46.9 dBm, SNR +4.0 dB, rsrp -68.2 dBm

[2023-09-29 10:54:45.758111] [gNB 0][rsc 0][Rx 0][sfn 200][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.0 dBm

[2023-09-29 10:54:45.758651] [gNB 1][rsc 0][Rx 0][sfn 200][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-29 10:54:45.759141] [gNB 2][rsc 0][Rx 0][sfn 200][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -47.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.759640] [gNB 3][rsc 0][Rx 0][sfn 200][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -46.8 dBm, SNR +4.0 dB, rsrp -68.1 dBm

[2023-09-29 10:54:45.768142] [gNB 0][rsc 0][Rx 0][sfn 201][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -81.1 dBm

[2023-09-29 10:54:45.768609] [gNB 1][rsc 0][Rx 0][sfn 201][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.3 dBm

