[2023-09-28 19:04:15.407380] [gNB 0][rsc 0][Rx 0][sfn 356][slot 2] DL PRS ToA ==> -16.0 / 4096 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-28 19:04:15.407964] [gNB 1][rsc 0][Rx 0][sfn 356][slot 3] DL PRS ToA ==> -16.0 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -80.0 dBm

[2023-09-28 19:04:15.408551] [gNB 2][rsc 0][Rx 0][sfn 356][slot 4] DL PRS ToA ==> -14.0 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 19:04:15.409025] [gNB 3][rsc 0][Rx 0][sfn 356][slot 5] DL PRS ToA ==> -15.0 / 4096 samples, peak channel power -59.3 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-28 19:04:15.413163] [gNB 0][rsc 0][Rx 0][sfn 357][slot 2] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 19:04:15.413647] [gNB 1][rsc 0][Rx 0][sfn 357][slot 3] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 19:04:15.414083] [gNB 2][rsc 0][Rx 0][sfn 357][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-28 19:04:15.414609] [gNB 3][rsc 0][Rx 0][sfn 357][slot 5] DL PRS ToA ==> -11.5 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-28 19:04:15.418463] [gNB 0][rsc 0][Rx 0][sfn 358][slot 2] DL PRS ToA ==> -13.5 / 4096 samples, peak channel power -50.3 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 19:04:15.418917] [gNB 1][rsc 0][Rx 0][sfn 358][slot 3] DL PRS ToA ==> -12.5 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-28 19:04:15.419383] [gNB 2][rsc 0][Rx 0][sfn 358][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-28 19:04:15.419997] [gNB 3][rsc 0][Rx 0][sfn 358][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-28 19:04:15.423655] [gNB 0][rsc 0][Rx 0][sfn 359][slot 2] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -51.7 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-28 19:04:15.424183] [gNB 1][rsc 0][Rx 0][sfn 359][slot 3] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -59.1 dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-28 19:04:15.424614] [gNB 2][rsc 0][Rx 0][sfn 359][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -82.1 dBm

[2023-09-28 19:04:15.425047] [gNB 3][rsc 0][Rx 0][sfn 359][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-28 19:04:15.429726] [gNB 0][rsc 0][Rx 0][sfn 360][slot 2] DL PRS ToA ==> -10.5 / 4096 samples, peak channel power -53.6 dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 19:04:15.430252] [gNB 1][rsc 0][Rx 0][sfn 360][slot 3] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -81.5 dBm

