[2023-09-28 19:05:42.278911] [gNB 0][rsc 0][Rx 0][sfn 146][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.5 dBm

[2023-09-28 19:05:42.279396] [gNB 1][rsc 0][Rx 0][sfn 146][slot 3] DL PRS ToA ==> -12.5 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.279951] [gNB 2][rsc 0][Rx 0][sfn 146][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-28 19:05:42.280597] [gNB 3][rsc 0][Rx 0][sfn 146][slot 5] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-28 19:05:42.285330] [gNB 0][rsc 0][Rx 0][sfn 147][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.5 dBm

[2023-09-28 19:05:42.285736] [gNB 1][rsc 0][Rx 0][sfn 147][slot 3] DL PRS ToA ==> -9.5 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:05:42.286210] [gNB 2][rsc 0][Rx 0][sfn 147][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:05:42.286721] [gNB 3][rsc 0][Rx 0][sfn 147][slot 5] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:05:42.291919] [gNB 0][rsc 0][Rx 0][sfn 148][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.6 dBm

[2023-09-28 19:05:42.292325] [gNB 1][rsc 0][Rx 0][sfn 148][slot 3] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -59.7 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.292783] [gNB 2][rsc 0][Rx 0][sfn 148][slot 4] DL PRS ToA ==> -9.5 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-28 19:05:42.293296] [gNB 3][rsc 0][Rx 0][sfn 148][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -85.3 dBm

[2023-09-28 19:05:42.298577] [gNB 0][rsc 0][Rx 0][sfn 149][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.9 dBm

[2023-09-28 19:05:42.298982] [gNB 1][rsc 0][Rx 0][sfn 149][slot 3] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 19:05:42.299368] [gNB 2][rsc 0][Rx 0][sfn 149][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-28 19:05:42.299993] [gNB 3][rsc 0][Rx 0][sfn 149][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.3 dBm

[2023-09-28 19:05:42.305282] [gNB 0][rsc 0][Rx 0][sfn 150][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.5 dBm

[2023-09-28 19:05:42.305696] [gNB 1][rsc 0][Rx 0][sfn 150][slot 3] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:05:42.306154] [gNB 2][rsc 0][Rx 0][sfn 150][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.6 dBm

[2023-09-28 19:05:42.306655] [gNB 3][rsc 0][Rx 0][sfn 150][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.1 dBm

[2023-09-28 19:05:42.311893] [gNB 0][rsc 0][Rx 0][sfn 151][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622079.5 dB, rsrp -85.8 dBm

[2023-09-28 19:05:42.312270] [gNB 1][rsc 0][Rx 0][sfn 151][slot 3] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:05:42.312646] [gNB 2][rsc 0][Rx 0][sfn 151][slot 4] DL PRS ToA ==> -2.5 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:05:42.313298] [gNB 3][rsc 0][Rx 0][sfn 151][slot 5] DL PRS ToA ==> -3.5 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:05:42.318591] [gNB 0][rsc 0][Rx 0][sfn 152][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.2 dBm

[2023-09-28 19:05:42.319043] [gNB 1][rsc 0][Rx 0][sfn 152][slot 3] DL PRS ToA ==> -4.5 / 4096 samples, peak channel power -59.8 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:05:42.319508] [gNB 2][rsc 0][Rx 0][sfn 152][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-28 19:05:42.320033] [gNB 3][rsc 0][Rx 0][sfn 152][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-28 19:05:42.325208] [gNB 0][rsc 0][Rx 0][sfn 153][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622076.2 dB, rsrp -87.5 dBm

[2023-09-28 19:05:42.325586] [gNB 1][rsc 0][Rx 0][sfn 153][slot 3] DL PRS ToA ==> -1.5 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-28 19:05:42.326046] [gNB 2][rsc 0][Rx 0][sfn 153][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -82.1 dBm

[2023-09-28 19:05:42.326545] [gNB 3][rsc 0][Rx 0][sfn 153][slot 5] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-28 19:05:42.331904] [gNB 0][rsc 0][Rx 0][sfn 154][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.1 dBm

[2023-09-28 19:05:42.332314] [gNB 1][rsc 0][Rx 0][sfn 154][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:05:42.332781] [gNB 2][rsc 0][Rx 0][sfn 154][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-28 19:05:42.333287] [gNB 3][rsc 0][Rx 0][sfn 154][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:05:42.338602] [gNB 0][rsc 0][Rx 0][sfn 155][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.3 dBm

[2023-09-28 19:05:42.338981] [gNB 1][rsc 0][Rx 0][sfn 155][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-28 19:05:42.339449] [gNB 2][rsc 0][Rx 0][sfn 155][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -56.8 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-28 19:05:42.340051] [gNB 3][rsc 0][Rx 0][sfn 155][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-28 19:05:42.345211] [gNB 0][rsc 0][Rx 0][sfn 156][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.0 dBm

[2023-09-28 19:05:42.345593] [gNB 1][rsc 0][Rx 0][sfn 156][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.346054] [gNB 2][rsc 0][Rx 0][sfn 156][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:05:42.346559] [gNB 3][rsc 0][Rx 0][sfn 156][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-28 19:05:42.351914] [gNB 0][rsc 0][Rx 0][sfn 157][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.1 dBm

[2023-09-28 19:05:42.352318] [gNB 1][rsc 0][Rx 0][sfn 157][slot 3] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:05:42.352775] [gNB 2][rsc 0][Rx 0][sfn 157][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-28 19:05:42.353356] [gNB 3][rsc 0][Rx 0][sfn 157][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:05:42.358616] [gNB 0][rsc 0][Rx 0][sfn 158][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.1 dBm

[2023-09-28 19:05:42.358997] [gNB 1][rsc 0][Rx 0][sfn 158][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:05:42.359462] [gNB 2][rsc 0][Rx 0][sfn 158][slot 4] DL PRS ToA ==> 5.5 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-28 19:05:42.360037] [gNB 3][rsc 0][Rx 0][sfn 158][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:05:42.365224] [gNB 0][rsc 0][Rx 0][sfn 159][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.1 dBm

[2023-09-28 19:05:42.365630] [gNB 1][rsc 0][Rx 0][sfn 159][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.366079] [gNB 2][rsc 0][Rx 0][sfn 159][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-28 19:05:42.366600] [gNB 3][rsc 0][Rx 0][sfn 159][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-28 19:05:42.371924] [gNB 0][rsc 0][Rx 0][sfn 160][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622079.8 dB, rsrp -84.3 dBm

[2023-09-28 19:05:42.372301] [gNB 1][rsc 0][Rx 0][sfn 160][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.9 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.372763] [gNB 2][rsc 0][Rx 0][sfn 160][slot 4] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-28 19:05:42.373279] [gNB 3][rsc 0][Rx 0][sfn 160][slot 5] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:05:42.378546] [gNB 0][rsc 0][Rx 0][sfn 161][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.2 dBm

[2023-09-28 19:05:42.378950] [gNB 1][rsc 0][Rx 0][sfn 161][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

