,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,0.0,-inf,-3.0,-48.6,-2.0,-52.4,-3.0,-59.8
1,0.0,-inf,-4.0,-48.8,-3.0,-53.0,-4.0,-60.4
2,0.0,-inf,-4.0,-49.2,-3.0,-53.3,-5.0,-60.1
3,0.0,-inf,-5.0,-49.5,0.0,-inf,-6.0,-60.2
4,0.0,-inf,-5.0,-48.9,-5.0,-53.3,0.0,-inf
5,0.0,-inf,-6.0,-48.8,-6.0,-53.4,0.0,-inf
6,0.0,-inf,-6.0,-49.1,-6.0,-52.8,-7.0,-59.8
7,0.0,-inf,-7.0,-49.2,-7.0,-52.7,-8.0,-59.6
8,0.0,-inf,-7.0,-49.1,-7.0,-52.7,-8.0,-60.1
9,0.0,-inf,1016.0,-49.0,0.0,-inf,-9.0,-59.7
10,0.0,-inf,-8.0,-49.1,-8.0,-52.9,-9.0,-59.3
11,0.0,-inf,-9.0,-49.3,-9.0,-52.5,0.0,-inf
12,0.0,-inf,-9.0,-49.4,-9.0,-52.2,0.0,-inf
13,0.0,-inf,-10.0,-49.3,-10.0,-52.4,0.0,-inf
14,0.0,-inf,-10.0,-49.2,-10.0,-52.4,0.0,-inf
15,0.0,-inf,-11.0,-49.3,-11.0,-51.9,-12.0,-58.7
16,0.0,-inf,-11.0,-48.9,-11.0,-52.3,-12.0,-59.2
17,0.0,-inf,-12.0,-49.2,0.0,-inf,-13.0,-59.4
18,0.0,-inf,-12.0,-49.5,-12.0,-52.6,-13.0,-59.1
19,0.0,-inf,-13.0,-49.7,-13.0,-52.5,0.0,-inf
20,0.0,-inf,-13.0,-49.8,-13.0,-52.3,0.0,-inf
21,0.0,-inf,-14.0,-50.0,-14.0,-52.2,0.0,-inf
22,0.0,-inf,-15.0,-50.0,-14.0,-52.3,0.0,-inf
23,0.0,-inf,-16.0,-49.6,-15.0,-52.3,-16.0,-59.6
24,0.0,-inf,-16.0,-49.5,-15.0,-52.5,-16.0,-60.0
25,0.0,-inf,-17.0,-49.4,0.0,-inf,-17.0,-59.8
26,0.0,-inf,-17.0,-49.5,-16.0,-52.8,-17.0,-59.8
27,0.0,-inf,-18.0,-49.5,-17.0,-52.5,0.0,-inf
28,0.0,-inf,-18.0,-49.4,-17.0,-52.5,0.0,-inf
29,0.0,-inf,-19.0,-49.1,-18.0,-53.0,0.0,-inf
30,0.0,-inf,-19.0,-49.0,-18.0,-53.2,-19.0,-60.6
31,0.0,-inf,-20.0,-49.2,-19.0,-53.1,-20.0,-60.6
32,0.0,-inf,-20.0,-49.3,-19.0,-53.2,-21.0,-60.1
33,0.0,-inf,-21.0,-49.4,0.0,-inf,-22.0,-59.9
34,0.0,-inf,-21.0,-49.2,0.0,-inf,-22.0,-60.1
35,0.0,-inf,-22.0,-48.9,-22.0,-53.2,0.0,-inf
36,0.0,-inf,-22.0,-49.0,-22.0,-53.3,0.0,-inf
37,0.0,-inf,-23.0,-49.0,-23.0,-53.2,0.0,-inf
38,0.0,-inf,-23.0,-49.2,-23.0,-52.9,-24.0,-59.7
39,0.0,-inf,-24.0,-49.1,-24.0,-52.9,-25.0,-59.6
40,0.0,-inf,-24.0,-49.3,-24.0,-52.9,-25.0,-59.4
41,0.0,-inf,-25.0,-49.4,0.0,-inf,-26.0,-59.2
42,0.0,-inf,-25.0,-49.4,-25.0,-52.4,0.0,-inf
43,0.0,-inf,-26.0,-49.4,-26.0,-52.3,0.0,-inf
44,0.0,-inf,-26.0,-49.5,-26.0,-52.4,0.0,-inf
45,0.0,-inf,-27.0,-49.7,-27.0,-52.3,0.0,-inf
46,0.0,-inf,-27.0,-49.7,-27.0,-52.2,-28.0,-59.0
47,0.0,-inf,-28.0,-49.8,-28.0,-52.3,-29.0,-59.0
48,0.0,-inf,-28.0,-49.9,-28.0,-52.3,-29.0,-59.2
49,0.0,-inf,-29.0,-50.0,-29.0,-52.2,-30.0,-59.3
50,0.0,-inf,-29.0,-49.9,-29.0,-52.3,0.0,-inf
51,0.0,-inf,-31.0,-49.8,-30.0,-52.6,0.0,-inf
52,0.0,-inf,-31.0,-49.6,-30.0,-52.7,0.0,-inf
53,0.0,-inf,-32.0,-49.4,-31.0,-52.8,0.0,-inf
54,0.0,-inf,-32.0,-49.4,-31.0,-53.0,-32.0,-60.0
55,0.0,-inf,-33.0,-49.4,-32.0,-53.0,-33.0,-60.3
56,0.0,-inf,-33.0,-49.5,0.0,-inf,-33.0,-60.1
57,0.0,-inf,-34.0,-49.5,-33.0,-53.2,-34.0,-60.2
58,0.0,-inf,-34.0,-49.5,-33.0,-53.0,0.0,-inf
59,0.0,-inf,-35.0,-49.5,-34.0,-52.9,0.0,-inf
60,0.0,-inf,-35.0,-49.4,-34.0,-53.2,0.0,-inf
61,0.0,-inf,-36.0,-49.2,-35.0,-53.4,0.0,-inf
62,0.0,-inf,-36.0,-49.1,-36.0,-53.5,-37.0,-60.5
63,0.0,-inf,-37.0,-49.2,-37.0,-53.4,-38.0,-60.5
64,0.0,-inf,-37.0,-49.3,0.0,-inf,-38.0,-60.1
65,0.0,-inf,-38.0,-49.4,-38.0,-53.2,-39.0,-59.9
66,0.0,-inf,-38.0,-49.4,-38.0,-52.8,0.0,-inf
67,0.0,-inf,-39.0,-49.4,-39.0,-52.7,0.0,-inf
68,0.0,-inf,-39.0,-49.5,-39.0,-52.7,0.0,-inf
69,0.0,-inf,-40.0,-49.5,-40.0,-52.6,-41.0,-59.2
70,0.0,-inf,-40.0,-49.4,-40.0,-52.5,-41.0,-59.4
71,0.0,-inf,-41.0,-49.5,0.0,-inf,-42.0,-59.6
72,0.0,-inf,-41.0,-49.5,0.0,-inf,-42.0,-59.4
73,0.0,-inf,-42.0,-49.6,-42.0,-52.6,-43.0,-59.3
74,0.0,-inf,-42.0,-49.6,-42.0,-52.7,0.0,-inf
75,0.0,-inf,-43.0,-49.6,-43.0,-52.8,0.0,-inf
76,0.0,-inf,-43.0,-49.7,-43.0,-52.8,0.0,-inf
77,0.0,-inf,-44.0,-49.8,-44.0,-52.7,-45.0,-59.7
78,0.0,-inf,-44.0,-49.9,-44.0,-52.6,-45.0,-59.8
79,0.0,-inf,-46.0,-50.1,0.0,-inf,-46.0,-59.7
80,0.0,-inf,-46.0,-50.1,0.0,-inf,-46.0,-59.8
81,0.0,-inf,-47.0,-50.0,-46.0,-52.7,-47.0,-59.8
82,0.0,-inf,-47.0,-49.8,-46.0,-52.7,0.0,-inf
83,0.0,-inf,-48.0,-49.8,-47.0,-52.8,0.0,-inf
84,0.0,-inf,-48.0,-49.8,-47.0,-52.9,0.0,-inf
85,0.0,-inf,-49.0,-49.7,-48.0,-53.0,-49.0,-60.3
86,0.0,-inf,-49.0,-49.6,-48.0,-53.4,-49.0,-60.5
87,0.0,-inf,-50.0,-49.5,0.0,-inf,-51.0,-60.8
88,0.0,-inf,-50.0,-49.6,-49.0,-53.8,-51.0,-60.7
89,0.0,-inf,-51.0,-49.5,-51.0,-53.7,0.0,-inf
90,0.0,-inf,-51.0,-49.4,-51.0,-53.6,0.0,-inf
91,0.0,-inf,-52.0,-49.4,-52.0,-53.6,0.0,-inf
92,0.0,-inf,-52.0,-49.4,-52.0,-53.5,-53.0,-60.3
93,0.0,-inf,-53.0,-49.4,-53.0,-53.4,-54.0,-60.1
94,0.0,-inf,-53.0,-49.5,0.0,-inf,-54.0,-60.2
95,0.0,-inf,-54.0,-49.5,0.0,-inf,-55.0,-60.0
96,0.0,-inf,-54.0,-49.6,0.0,-inf,-55.0,-59.8
97,0.0,-inf,-55.0,-49.6,-55.0,-53.2,0.0,-inf
98,0.0,-inf,-55.0,-49.6,-55.0,-53.1,0.0,-inf
99,0.0,-inf,-56.0,-49.7,-56.0,-53.2,0.0,-inf
100,0.0,-inf,-56.0,-49.7,-56.0,-53.1,-57.0,-59.7
101,0.0,-inf,-57.0,-49.8,-57.0,-53.0,-58.0,-59.9
102,0.0,-inf,-57.0,-50.1,0.0,-inf,-58.0,-59.9
103,0.0,-inf,-58.0,-50.1,0.0,-inf,-59.0,-60.0
104,0.0,-inf,-58.0,-50.2,-58.0,-53.0,-59.0,-59.8
105,0.0,-inf,-60.0,-50.3,-59.0,-53.2,0.0,-inf
106,0.0,-inf,-60.0,-50.1,-59.0,-53.2,0.0,-inf
107,0.0,-inf,-61.0,-50.0,-60.0,-53.3,0.0,-inf
108,0.0,-inf,-61.0,-50.0,-60.0,-53.3,-61.0,-60.2
109,0.0,-inf,-62.0,-50.0,-61.0,-53.2,-62.0,-60.6
110,0.0,-inf,-62.0,-49.9,0.0,-inf,-62.0,-60.7
111,0.0,-inf,-63.0,-49.9,0.0,-inf,-63.0,-60.7
112,0.0,-inf,-63.0,-49.9,-62.0,-53.5,-63.0,-60.7
113,0.0,-inf,-64.0,-49.7,-63.0,-53.7,0.0,-inf
114,0.0,-inf,-64.0,-49.6,-63.0,-53.8,0.0,-inf
115,0.0,-inf,-65.0,-49.7,-64.0,-53.9,0.0,-inf
116,0.0,-inf,-65.0,-49.7,-65.0,-53.8,-66.0,-60.2
117,0.0,-inf,-66.0,-49.8,-66.0,-53.5,-67.0,-60.3
118,0.0,-inf,-66.0,-49.9,0.0,-inf,-67.0,-60.1
119,0.0,-inf,-67.0,-49.9,0.0,-inf,-68.0,-59.9
120,0.0,-inf,-67.0,-49.9,-67.0,-53.1,0.0,-inf
121,0.0,-inf,-68.0,-49.9,-68.0,-53.1,0.0,-inf
122,0.0,-inf,-68.0,-49.9,-68.0,-53.1,0.0,-inf
123,0.0,-inf,-69.0,-49.9,-69.0,-53.1,-70.0,-60.3
124,0.0,-inf,-69.0,-49.8,-69.0,-53.1,-70.0,-60.3
125,0.0,-inf,-70.0,-49.9,0.0,-inf,-71.0,-60.2
126,0.0,-inf,-70.0,-50.0,0.0,-inf,-71.0,-60.0
127,0.0,-inf,-71.0,-50.2,0.0,-inf,-72.0,-59.8
128,0.0,-inf,-71.0,-50.4,-71.0,-53.0,0.0,-inf
129,0.0,-inf,-72.0,-50.5,-72.0,-52.9,0.0,-inf
130,0.0,-inf,-72.0,-50.6,-72.0,-52.9,0.0,-inf
131,0.0,-inf,-74.0,-50.5,-73.0,-53.1,-74.0,-60.4
132,0.0,-inf,-74.0,-50.4,-73.0,-53.3,-74.0,-60.6
133,0.0,-inf,-75.0,-50.4,0.0,-inf,-75.0,-60.5
134,0.0,-inf,-75.0,-50.5,0.0,-inf,-75.0,-60.4
135,0.0,-inf,-76.0,-50.5,-75.0,-53.1,-76.0,-60.5
136,0.0,-inf,-76.0,-50.2,-75.0,-53.2,0.0,-inf
137,0.0,-inf,-77.0,-50.0,-76.0,-53.6,0.0,-inf
138,0.0,-inf,-77.0,-50.0,-76.0,-53.9,0.0,-inf
