,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,-11.0,-55.4,-63.0,-69.6,-11.0,-55.6,-11.0,-59.8
1,-12.0,-55.5,-63.0,-69.6,-11.0,-57.3,-11.0,-59.6
2,-13.0,-55.8,-63.0,-69.7,-12.0,-53.6,0.0,-inf
3,-12.0,-53.3,0.0,-inf,-11.0,-58.3,0.0,-inf
4,-11.0,-55.0,0.0,-inf,-11.0,-52.9,-11.0,-58.7
5,-12.0,-52.6,-63.0,-69.9,0.0,-inf,-11.0,-59.0
6,-11.0,-58.9,0.0,-inf,-11.0,-53.6,-11.0,-59.4
7,-12.0,-52.9,0.0,-inf,-11.0,-55.4,0.0,-inf
8,0.0,-inf,0.0,-inf,-12.0,-53.5,0.0,-inf
9,-12.0,-52.8,-64.0,-71.1,0.0,-inf,-12.0,-60.1
10,-14.0,-55.4,0.0,-inf,-13.0,-53.3,-13.0,-59.9
11,-12.0,-52.5,0.0,-inf,-12.0,-58.4,-12.0,-59.1
12,0.0,-inf,0.0,-inf,-12.0,-53.2,-12.0,-58.9
13,-13.0,-53.1,0.0,-inf,0.0,-inf,-12.0,-59.0
14,-12.0,-56.9,-64.0,-70.2,-12.0,-53.4,-12.0,-59.0
15,-14.0,-54.2,0.0,-inf,-14.0,-55.0,0.0,-inf
16,-13.0,-58.1,0.0,-inf,-13.0,-54.1,0.0,-inf
17,-13.0,-54.2,0.0,-inf,-13.0,-55.8,0.0,-inf
18,-14.0,-56.6,-65.0,-71.1,-13.0,-54.4,-13.0,-60.0
19,-13.0,-53.8,0.0,-inf,-13.0,-57.3,-13.0,-59.5
20,-14.0,-55.1,0.0,-inf,-13.0,-54.4,0.0,-inf
21,-13.0,-53.9,0.0,-inf,-13.0,-57.5,-13.0,-58.8
22,-13.0,-55.3,-65.0,-70.4,-13.0,-54.3,-13.0,-59.0
23,-14.0,-55.8,0.0,-inf,-14.0,-55.9,-13.0,-58.9
24,0.0,-inf,0.0,-inf,-13.0,-54.1,0.0,-inf
25,-14.0,-55.0,-65.0,-71.1,-14.0,-55.1,0.0,-inf
26,-14.0,-57.8,-66.0,-72.1,-14.0,-54.1,0.0,-inf
27,-14.0,-54.3,0.0,-inf,-14.0,-57.3,-14.0,-60.0
28,-15.0,-55.1,0.0,-inf,-14.0,-54.7,-14.0,-59.3
29,-14.0,-54.7,0.0,-inf,-14.0,-56.4,-14.0,-59.0
30,-15.0,-54.7,-66.0,-69.6,-14.0,-55.9,-14.0,-58.9
31,-14.0,-55.7,0.0,-inf,-14.0,-54.6,-14.0,-59.1
32,-15.0,-52.9,0.0,-inf,-15.0,-55.7,0.0,-inf
33,0.0,-inf,0.0,-inf,-14.0,-54.4,0.0,-inf
34,-15.0,-54.1,0.0,-inf,-14.0,-55.4,0.0,-inf
35,-15.0,-56.7,-67.0,-72.0,-15.0,-55.5,-15.0,-60.7
