,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,-5.8,-54.8,-6.5,-62.6,-6.2,-57.0,-6.5,-61.4
1,-5.8,-54.8,-6.5,-62.8,-6.5,-57.1,0.0,-inf
2,-4.0,-55.0,-4.8,-62.9,0.0,-inf,-4.8,-61.6
3,-4.0,-55.0,-4.8,-62.8,-4.5,-57.3,0.0,-inf
4,-2.0,-55.2,-2.8,-63.1,-2.5,-57.3,-2.8,-61.7
5,-2.2,-54.8,-3.0,-62.7,-2.8,-57.0,-2.8,-61.5
6,-1.2,-55.1,0.0,-inf,-1.8,-57.2,-2.0,-61.5
7,-1.2,-55.0,0.0,-inf,-1.8,-57.3,0.0,-inf
8,-0.2,-55.2,-1.0,-63.2,-1.0,-57.4,-1.0,-61.7
9,-0.5,-55.2,-1.2,-63.0,-1.0,-57.3,-1.2,-61.8
10,0.5,-55.0,-0.2,-62.9,0.0,-57.2,-0.2,-61.7
11,0.5,-55.1,-0.2,-63.1,0.0,-57.5,0.0,-inf
12,1.2,-55.2,0.5,-63.1,0.8,-57.2,0.8,-61.5
13,0.2,-55.1,-0.5,-62.8,-0.2,-57.4,0.0,-inf
14,2.2,-55.0,1.5,-63.0,1.8,-57.2,0.0,-inf
15,2.2,-55.2,1.2,-63.1,1.5,-57.4,1.5,-61.8
16,3.0,-55.1,0.0,-inf,2.5,-57.3,0.0,-inf
17,3.0,-55.2,2.2,-63.0,2.5,-57.3,0.0,-inf
18,4.0,-55.2,3.2,-63.0,3.5,-57.4,3.2,-61.7
19,3.8,-55.3,0.0,-inf,3.2,-57.4,0.0,-inf
20,4.8,-54.8,4.0,-62.6,4.2,-57.1,0.0,-inf
21,4.8,-55.2,4.0,-63.2,4.2,-57.1,4.0,-61.6
22,5.8,-55.2,4.8,-63.0,5.0,-57.4,5.0,-61.8
23,5.5,-55.0,4.8,-63.0,5.0,-57.3,0.0,-inf
24,6.5,-55.2,5.8,-63.0,6.0,-57.4,0.0,-inf
25,6.2,-55.1,5.8,-62.9,6.0,-57.2,5.8,-61.4
26,5.2,-55.2,4.5,-62.9,4.8,-57.4,4.8,-61.8
27,4.2,-55.0,3.5,-62.9,3.8,-57.3,0.0,-inf
28,4.2,-55.2,3.5,-63.0,3.8,-57.2,3.5,-61.7
29,4.0,-55.2,3.2,-63.1,3.5,-57.4,3.5,-61.8
30,3.0,-55.2,0.0,-inf,2.5,-57.3,2.2,-61.7
31,3.0,-54.9,2.2,-63.0,2.5,-57.3,0.0,-inf
32,2.0,-55.2,1.2,-63.2,1.5,-57.3,1.2,-61.6
33,1.8,-55.1,1.0,-62.9,1.2,-57.3,0.0,-inf
34,0.8,-55.1,0.0,-63.2,0.2,-57.4,0.0,-61.8
35,0.8,-55.0,0.0,-63.1,0.2,-57.2,0.0,-61.5
36,-1.2,-55.2,0.0,-inf,-2.0,-57.4,0.0,-inf
