,Unnamed: 0,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,0.0,0.0,-inf,0.0,-inf,4.6,-51.5,6.6,-63.4
1,1.0,0.0,-inf,9.9,-64.8,4.6,-51.8,6.6,-63.6
2,2.0,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf
3,3.0,0.0,-inf,9.9,-65.2,4.6,-51.9,0.0,-inf
4,4.0,0.0,-inf,9.9,-65.5,4.6,-52.1,0.0,-inf
5,5.0,10.6,-62.5,9.9,-65.2,4.6,-52.1,0.0,-inf
6,6.0,10.6,-62.8,0.0,-inf,4.6,-52.0,0.0,-inf
7,7.0,0.0,-inf,9.9,-65.3,4.6,-52.2,0.0,-inf
8,8.0,10.6,-62.6,9.9,-65.0,4.6,-52.1,0.0,-inf
9,9.0,0.0,-inf,0.0,-inf,4.6,-52.0,0.0,-inf
10,10.0,0.0,-inf,9.9,-65.1,4.6,-52.2,0.0,-inf
11,11.0,10.6,-62.5,9.9,-64.9,4.6,-52.1,0.0,-inf
12,12.0,0.0,-inf,0.0,-inf,4.6,-52.0,0.0,-inf
13,13.0,0.0,-inf,9.9,-65.1,4.6,-52.1,6.6,-63.9
14,14.0,10.5,-62.5,9.9,-65.0,4.6,-52.1,0.0,-inf
15,15.0,0.0,-inf,0.0,-inf,-2043.4,-52.0,0.0,-inf
16,16.0,0.0,-inf,9.9,-65.1,4.6,-52.1,0.0,-inf
17,17.0,10.5,-62.5,0.0,-inf,4.6,-52.1,0.0,-inf
18,18.0,0.0,-inf,0.0,-inf,4.6,-51.9,0.0,-inf
19,19.0,0.0,-inf,9.9,-65.1,4.6,-52.1,0.0,-inf
20,20.0,10.5,-62.5,0.0,-inf,4.6,-52.1,0.0,-inf
21,21.0,0.0,-inf,0.0,-inf,4.6,-51.9,0.0,-inf
22,22.0,0.0,-inf,9.9,-65.1,4.6,-52.1,0.0,-inf
23,23.0,0.0,-inf,9.9,-64.9,4.6,-52.1,0.0,-inf
24,24.0,0.0,-inf,0.0,-inf,4.6,-52.0,0.0,-inf
25,25.0,0.0,-inf,9.9,-65.2,4.6,-52.2,0.0,-inf
26,26.0,10.6,-62.6,9.9,-65.0,4.6,-52.1,0.0,-inf
27,27.0,0.0,-inf,0.0,-inf,4.6,-52.0,0.0,-inf
28,28.0,0.0,-inf,9.9,-65.2,4.6,-52.2,0.0,-inf
29,29.0,10.6,-62.6,9.9,-65.0,4.6,-52.1,0.0,-inf
30,30.0,0.0,-inf,0.0,-inf,4.6,-52.0,0.0,-inf
31,31.0,0.0,-inf,9.9,-65.2,4.6,-52.1,0.0,-inf
32,32.0,10.6,-62.5,0.0,-inf,4.6,-52.1,0.0,-inf
33,33.0,0.0,-inf,0.0,-inf,4.6,-51.9,0.0,-inf
34,34.0,0.0,-inf,9.9,-65.1,4.6,-52.1,0.0,-inf
35,35.0,0.0,-inf,0.0,-inf,4.6,-52.1,0.0,-inf
36,36.0,0.0,-inf,9.9,-65.1,4.6,-51.9,0.0,-inf
37,37.0,0.0,-inf,9.9,-65.3,4.6,-52.1,0.0,-inf
38,38.0,10.5,-62.5,9.9,-65.1,4.6,-52.1,0.0,-inf
39,39.0,10.5,-62.8,0.0,-inf,4.6,-52.0,0.0,-inf
40,40.0,0.0,-inf,9.9,-65.3,4.6,-52.1,6.5,-63.9
41,41.0,10.5,-62.5,9.9,-65.1,4.6,-52.2,0.0,-inf
42,42.0,0.0,-inf,0.0,-inf,4.5,-52.0,0.0,-inf
43,43.0,0.0,-inf,9.9,-65.1,4.5,-52.1,0.0,-inf
44,44.0,0.0,-inf,0.0,-inf,3.5,-52.1,0.0,-inf
45,45.0,0.0,-inf,9.9,-65.1,4.5,-51.9,0.0,-inf
46,46.0,0.0,-inf,9.9,-65.4,4.5,-52.1,6.5,-63.8
47,47.0,10.5,-62.5,0.0,-inf,4.5,-52.2,0.0,-inf
48,48.0,10.5,-62.7,0.0,-inf,4.5,-52.0,0.0,-inf
49,49.0,0.0,-inf,9.8,-65.2,4.5,-52.2,0.0,-inf
50,50.0,0.0,-inf,0.0,-inf,4.5,-52.1,0.0,-inf
51,51.0,0.0,-inf,0.0,-inf,4.5,-51.9,0.0,-inf
52,52.0,0.0,-inf,9.8,-65.3,4.5,-52.1,6.5,-63.9
53,53.0,10.5,-62.5,0.0,-inf,4.5,-52.1,0.0,-inf
54,54.0,0.0,-inf,0.0,-inf,4.5,-52.0,0.0,-inf
55,55.0,0.0,-inf,9.8,-65.2,4.5,-52.2,0.0,-inf
56,56.0,10.4,-62.5,9.8,-64.9,4.5,-52.1,0.0,-inf
57,57.0,0.0,-inf,0.0,-inf,4.5,-51.9,0.0,-inf
58,58.0,0.0,-inf,9.8,-65.3,4.5,-52.1,6.4,-63.8
59,59.0,10.4,-62.5,9.8,-65.3,4.5,-52.2,0.0,-inf
60,60.0,9.4,-62.7,0.0,-inf,3.4,-52.0,0.0,-inf
61,61.0,0.0,-inf,9.8,-65.4,4.4,-52.1,6.4,-63.9
62,62.0,10.4,-62.5,9.8,-65.1,4.4,-52.2,0.0,-inf
63,63.0,0.0,-inf,0.0,-inf,4.4,-52.0,0.0,-inf
64,64.0,0.0,-inf,9.8,-65.2,4.4,-52.1,0.0,-inf
65,65.0,10.4,-62.6,9.8,-65.0,4.4,-52.1,0.0,-inf
66,66.0,0.0,-inf,0.0,-inf,4.4,-52.0,0.0,-inf
67,67.0,0.0,-inf,9.8,-65.2,4.4,-52.1,6.4,-63.8
68,68.0,10.4,-62.5,0.0,-inf,4.4,-52.1,0.0,-inf
69,69.0,10.4,-62.7,0.0,-inf,4.4,-51.9,0.0,-inf
70,70.0,0.0,-inf,9.8,-65.2,4.4,-52.1,0.0,-inf
71,71.0,10.4,-62.5,9.8,-65.2,4.4,-52.2,0.0,-inf
72,72.0,0.0,-inf,9.8,-65.2,4.5,-52.0,0.0,-inf
73,73.0,0.0,-inf,9.8,-65.3,4.5,-52.1,0.0,-inf
74,74.0,9.4,-62.5,8.8,-65.0,3.5,-52.1,0.0,-inf
75,75.0,0.0,-inf,0.0,-inf,4.5,-52.0,0.0,-inf
76,76.0,0.0,-inf,9.8,-65.3,4.5,-52.0,0.0,-inf
77,77.0,10.5,-62.5,0.0,-inf,4.5,-52.1,0.0,-inf
78,78.0,0.0,-inf,0.0,-inf,4.5,-51.9,0.0,-inf
79,79.0,0.0,-inf,9.8,-65.2,4.5,-52.1,0.0,-inf
80,80.0,10.5,-62.4,9.9,-65.3,4.5,-52.1,0.0,-inf
81,81.0,0.0,-inf,0.0,-inf,4.5,-51.9,0.0,-inf
82,82.0,0.0,-inf,9.9,-65.2,4.6,-52.1,0.0,-inf
83,83.0,9.5,-62.4,8.9,-65.3,3.6,-52.1,0.0,-inf
84,84.0,0.0,-inf,0.0,-inf,4.6,-51.9,0.0,-inf
85,85.0,0.0,-inf,9.9,-65.2,4.6,-52.1,0.0,-inf
86,86.0,10.6,-62.6,0.0,-inf,4.6,-52.1,0.0,-inf
87,87.0,0.0,-inf,0.0,-inf,4.6,-52.0,0.0,-inf
88,88.0,0.0,-inf,9.9,-65.4,4.6,-52.0,0.0,-inf
89,89.0,10.6,-62.5,10.0,-65.0,4.6,-52.1,0.0,-inf
90,90.0,0.0,-inf,0.0,-inf,4.8,-52.0,0.0,-inf
91,91.0,0.0,-inf,10.0,-65.3,4.8,-52.1,6.8,-63.9
92,92.0,10.8,-62.6,0.0,-inf,4.8,-52.2,0.0,-inf
93,93.0,10.8,-62.8,0.0,-inf,4.8,-52.0,0.0,-inf
94,94.0,0.0,-inf,10.1,-65.1,4.8,-52.1,6.8,-63.8
95,95.0,10.8,-62.5,10.1,-65.3,4.8,-52.2,0.0,-inf
96,96.0,0.0,-inf,0.0,-inf,4.9,-51.9,0.0,-inf
97,97.0,0.0,-inf,0.0,-inf,4.9,-52.1,0.0,-inf
98,98.0,10.9,-62.6,0.0,-inf,4.9,-52.1,0.0,-inf
99,99.0,10.9,-62.7,0.0,-inf,4.9,-52.0,0.0,-inf
100,100.0,0.0,-inf,10.2,-65.4,4.9,-52.0,0.0,-inf
101,101.0,10.9,-62.5,10.2,-64.9,4.9,-52.2,0.0,-inf
102,102.0,10.9,-62.7,10.2,-65.1,5.0,-52.0,0.0,-inf
103,103.0,0.0,-inf,10.2,-65.2,5.0,-52.1,0.0,-inf
104,104.0,10.9,-62.5,10.2,-65.1,5.0,-52.2,0.0,-inf
105,105.0,0.0,-inf,10.2,-65.2,5.1,-52.1,0.0,-inf
106,106.0,0.0,-inf,0.0,-inf,5.0,-52.1,0.0,-inf
107,107.0,0.0,-inf,10.4,-65.3,5.0,-52.1,0.0,-inf
108,108.0,11.0,-62.7,0.0,-inf,5.1,-52.0,0.0,-inf
109,109.0,0.0,-inf,10.4,-65.3,5.1,-52.0,0.0,-inf
110,110.0,11.1,-62.6,0.0,-inf,5.1,-52.1,0.0,-inf
111,111.0,11.1,-62.7,0.0,-inf,5.1,-52.0,0.0,-inf
112,112.0,0.0,-inf,10.4,-65.4,5.1,-52.0,0.0,-inf
113,113.0,11.1,-62.5,0.0,-inf,5.1,-52.1,0.0,-inf
114,114.0,11.1,-62.7,10.5,-65.1,5.1,-52.0,0.0,-inf
115,115.0,0.0,-inf,10.5,-65.2,5.2,-52.1,7.1,-63.8
116,116.0,11.1,-62.5,10.5,-64.9,5.2,-52.2,0.0,-inf
117,117.0,11.1,-62.8,10.5,-65.2,5.2,-52.0,0.0,-inf
118,118.0,0.0,-inf,10.5,-65.2,5.2,-52.1,0.0,-inf
119,119.0,11.2,-62.6,10.5,-65.0,5.2,-52.1,0.0,-inf
120,120.0,10.2,-62.7,9.6,-65.2,4.2,-52.0,0.0,-inf
121,121.0,0.0,-inf,10.6,-65.1,5.2,-52.1,0.0,-inf
122,122.0,11.2,-62.5,10.6,-65.0,5.2,-52.2,0.0,-inf
123,123.0,11.2,-62.7,10.6,-65.0,5.4,-52.0,0.0,-inf
124,124.0,0.0,-inf,10.6,-65.4,5.4,-52.0,0.0,-inf
125,125.0,10.2,-62.5,9.6,-65.0,4.4,-52.1,0.0,-inf
126,126.0,11.2,-62.7,0.0,-inf,5.4,-52.0,0.0,-inf
